nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,bpr-opi-url_en,bpr-opi-url_fr,gsin-code-status_en,gsin-code-status_fr,date-file-published
N7025101,"[""VAN""]","PRINTERS, LINE (BAND, CHAIN, DRUM, TRAIN, ETC.)","Imprimantes ligne par ligne, à bande, à chaîne, à tambour, à train, etc.","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7025102,"[""VAN""]","PRINTERS, IMPACT DOT MATRIX","Imprimantes, par point impact","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7025104,"[""VAN""]","PRINTERS, INK JET","Imprimantes, à jet d'encre","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7025105,"[""VAN""]","PRINTERS INK JET COLOUR","Imprimante couleur à jet d'encre","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7025090,"[""VAN""]","PRINTERS, BAR CODE","Imprimantes, code à barres","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7025130,"[""VAN""]","PLOTTERS, ON LINE","Traceurs, en circuit","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7025134,"[""VAN""]","Scanners, Document","Scanneurs, document","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7035190,"[""VAN""]","PLOTTERS (STAND ALONE)","Traceurs autonomes","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7830A,"[""VAN""]","Gymnasium Equipment","Équipement de gymnase","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7830B,"[""VAN""]","Mats, Gymnasium","Carpettes, gymnase","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
