,,,,,,,,
United Nations Provisional Central Product Classification (CPC),United Nations Provisional Central Product Classification Description,GSIN Code,GSIN Description EN,GSIN Description FR,UNSPSC Code,UNSPSC Description EN,UNSPSC Description FR,
,,5159E,Smokestack Services,Services cheminées,,,,
516 Installation work,"5161 Heating, ventilation and air conditioning work",5161A,Heating (except electric heating) and Air Conditioning,Chauffage (sauf le chauffage électrique) et climatisation,,,,
,,5161AC,Heating Contractor Services (except electrical heating),Services d'entrepreneur en chauffage (sauf le chauffage électrique),,,,
,,5161AE,Air Conditioning Contractor Services,Services d'entrepreneurs en climatisation,,,,
,,5161AF,Ventilating Services Contractors,Entrepreneurs en services de ventilation,,,,
,,5161AJ,"Boilers, Repair and Cleaning Services",Services de réparation et de nettoyage des chaudières,,,,
,,5161AK,"Pipe Insulations, Contractors","Isolation de tuyaux, entrepreneurs",,,,
,,5161AN,Boilers - Installation and Repair,"Chaudières, installation et réparation",,,,
,,5161AP,Ductwork - Repair and Cleaning Services,Services de réparation et de nettoyage de gaines de ventilation,,,,
,,5161B,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services","Services d'inspection et d'entretien des unités de chauffage, ventilation et de climatisation",,,,
,,5161C,Air Distribution Systems - Installation and Repair,Systèmes de distribution d'air - installation et réparation,,,,
,,5161D,BACS - Building Automation Control Systems,SACI - Système d'automatisation et de contrôle des immeubles,,,,
,5162 Water plumbing and drain laying work,5162A,Water Plumbing and Drain Laying Work,Travaux de pose de drains et de plomberie (eau),,,,
,,5162B,"Sprinkler Systems, Installation and Repair",Systèmes de gicleurs - installation et réparation,,,,
,,5162C,Plumbing Contractor Services,Services d'entrepreneur en plomberie,,,,
,,5162D,Sewers and Drains,Égouts et drains,,,,
,5163 Gas fitting construction work,5163A,Gas Fitting Construction Work,Travaux d'installations au gaz,,,,
,,5163B,Building Gas System (Medical/Industrial) Contractors,Entrepreneurs en réseaux au gaz d'immeuble (installations médicales/industrielles),,,,
,5164 Electrical work,5164A,Electrical Installations and Major Repairs,Installations électriques et réparations majeures,,,,
,,5164AB,"Electrical Contractor Services, Class A Licence",Services d'entrepreneurs en électricité licencié de catégorie A,,,,
,,5164AF,Electrical Inspections,Vérifications des circuits électriques,,,,
,,5164C,Building Fire Protection Systems,Systèmes de protection d'immeuble contre les incendies,,,,
,,5164CA,Building Lighting - Installation and Repair,Appareils d'éclairage d'édifice - installation et réparation,,,,
,,5164CB,Power Generation System - Installation and Repair,Réseau de production d'énergie électrique - installation et réparation,,,,
,,5164CC,High Voltage Distribution System (above 600-Volt) - Installation and Repair,Réseau de distribution haute tension (plus de 600 volts) - installation et réparation,,,,
,,5164CE,Fire Alarm & Detection Systems - Installation and Repair,Systèmes de détection et d'alarme incendie - installation et réparation,,,,
,,5164CF,Uninterruptible Power Supply System - Installation and Repair,Bloc d'alimentation électrique sans coupure - installation et réparation,,,,
